Periodo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Actividades terciarias >  43 Comercio al por mayor Sonora ,3.827812371,3.940716093,3.950424996,4.013378001,3.990688684,3.999021676,3.911397208,4.107156143,4.363237447,3.971191545,3.820836306
,Actividades terciarias >  43 Comercio al por mayor Tabasco ,1.590860711,1.607977527,1.538545431,1.679536531,1.711005255,1.684717615,1.647483823,1.723573891,1.642349024,1.489870981,1.427486144
,Actividades terciarias >  43 Comercio al por mayor Tamaulipas ,2.613779241,2.548762536,2.530312363,2.440354402,2.320782389,2.309148339,2.220366382,2.200084121,2.16752933,2.21524209,1.979013084
,Actividades terciarias >  43 Comercio al por mayor Tlaxcala ,0.291858937,0.309562174,0.302447668,0.29904829,0.314822054,0.313495668,0.29011705,0.289234641,0.301969465,0.297159874,0.303447758
,Actividades terciarias >  43 Comercio al por mayor Veracruz de Ignacio de la Llave ,4.502498603,4.542526138,4.484445138,4.337113735,4.30834862,4.387868488,4.394128375,4.376561619,4.367653253,4.193807254,4.067021691
,Actividades terciarias >  43 Comercio al por mayor Yucat�n ,1.576554475,1.566929727,1.569755845,1.572109151,1.640177009,1.653222593,1.711027179,1.708481243,1.681305349,1.671026487,1.6512653
,Actividades terciarias >  43 Comercio al por mayor Zacatecas ,0.806804797,0.819812775,0.806573426,0.797143387,0.816565536,0.851368307,0.813692993,0.842122306,0.80772397,0.837273903,0.829709007
,Actividades terciarias >  46 Comercio al por menor Total nacional ,100,100,100,100,100,100,100,100,100,100,100
,Actividades terciarias >  46 Comercio al por menor Aguascalientes ,1.165467078,1.152022549,1.111206846,1.10138215,1.084279134,1.136377817,1.146705463,1.101913122,1.147811286,1.126525402,1.064640404
,Actividades terciarias >  46 Comercio al por menor Baja California ,2.871279051,2.908769359,3.000639272,3.056858319,3.081611611,3.098744696,3.085202771,3.292786955,3.447864323,3.44701763,3.328836792
,Actividades terciarias >  46 Comercio al por menor Baja California Sur ,0.853845086,0.863892399,0.910407142,0.937496959,0.910018742,0.861967036,0.869785795,0.845742733,0.904530841,0.888489544,0.910308156
,Actividades terciarias >  46 Comercio al por menor Campeche ,0.690402455,0.664361647,0.686900588,0.734224449,0.723281954,0.713756579,0.709553088,0.745575081,0.707843757,0.685046981,0.655063521
,Actividades terciarias >  46 Comercio al por menor Coahuila de Zaragoza ,2.786508976,2.791504016,2.834802453,2.737637755,2.645708971,2.636603859,2.490396917,2.49014752,2.61044794,2.530981234,2.507623108
,Actividades terciarias >  46 Comercio al por menor Colima ,0.632791321,0.644415788,0.669294322,0.673489025,0.663451163,0.696772536,0.762032561,0.712594662,0.734100805,0.760171614,0.768490899
,Actividades terciarias >  46 Comercio al por menor Chiapas ,1.991709215,2.113562569,1.947129153,1.969426416,1.945047455,2.038933373,2.091793414,2.046034221,2.183800452,2.016087219,1.922587694
,Actividades terciarias >  46 Comercio al por menor Chihuahua ,3.261608195,3.119534926,2.987104998,2.961056177,2.994954733,3.01113139,2.792181759,2.900567336,2.829555477,2.880589041,2.999871393
,Actividades terciarias >  46 Comercio al por menor Ciudad de M�xico ,16.25547145,16.30587707,16.22652264,15.76890109,15.94720418,16.23096971,16.45842817,15.91839047,14.58696683,14.78544236,15.49642653
,Actividades terciarias >  46 Comercio al por menor Durango ,0.974927117,0.999402181,0.982528456,1.000124551,1.061863624,1.118656902,1.117027309,1.067104046,1.155577057,1.11854559,1.076231349
,Actividades terciarias >  46 Comercio al por menor Guanajuato ,4.134980772,4.098903733,4.196856786,4.277499209,4.228067938,4.086946828,3.926929815,3.900005617,3.85327328,4.034502978,3.815344956
,Actividades terciarias >  46 Comercio al por menor Guerrero ,1.745913817,1.816760782,1.809666577,1.75575414,1.683763249,1.669130462,1.751217191,1.815083211,1.69886105,1.706107607,1.590551457
,Actividades terciarias >  46 Comercio al por menor Hidalgo ,1.429696437,1.337394846,1.410158539,1.480946209,1.434220931,1.507240439,1.511403177,1.758627648,1.793954151,1.751093234,1.849683808
,Actividades terciarias >  46 Comercio al por menor Jalisco ,8.113949191,8.600724482,8.278617639,8.112351364,7.986509976,8.027085955,7.704102171,7.315588912,7.931317578,7.481527796,7.488387042
,Actividades terciarias >  46 Comercio al por menor M�xico ,10.9921069,10.40491163,10.80247717,10.97686333,11.5488095,11.01848311,11.41472011,11.74800595,11.0755655,12.02234667,12.26520845
,Actividades terciarias >  46 Comercio al por menor Michoac�n de Ocampo ,2.899024138,3.15990516,2.825582315,2.790344597,2.821786396,2.902428507,3.106885388,3.282667341,3.226474142,3.079605331,3.079145482
,Actividades terciarias >  46 Comercio al por menor Morelos ,1.416019435,1.37652145,1.318833933,1.31524413,1.251421754,1.386250989,1.451643994,1.443946797,1.421834515,1.387536914,1.234866638
,Actividades terciarias >  46 Comercio al por menor Nayarit ,0.746032559,0.751085362,0.802957367,0.784040158,0.744816761,0.778209195,0.769810471,0.765415958,0.816020768,0.864941691,0.82147532
,Actividades terciarias >  46 Comercio al por menor Nuevo Le�n ,7.331038257,7.418649655,7.327223923,7.353702121,7.395010712,7.01806651,6.965834335,7.08679544,7.323135436,7.058455124,6.845644652
,Actividades terciarias >  46 Comercio al por menor Oaxaca ,1.615442193,1.622497633,1.634281398,1.621059369,1.616011563,1.623320966,1.64064398,1.67450383,1.74935317,1.692721401,1.641732807
,Actividades terciarias >  46 Comercio al por menor Puebla ,3.752297358,3.566539933,3.832531427,3.721350065,3.695223194,3.591937197,3.463974009,3.475571922,3.633324865,3.575271792,3.623967055
,Actividades terciarias >  46 Comercio al por menor Quer�taro ,2.291184456,2.256185442,2.178245285,2.238868912,2.130765886,2.127978159,2.162760507,2.23087043,2.19647129,2.131632241,2.160884077
,Actividades terciarias >  46 Comercio al por menor Quintana Roo ,1.925949015,1.798138306,1.826519109,1.951074635,1.945218288,2.037774225,1.991190759,1.987848592,2.029028119,2.166452841,2.176898462
,Actividades terciarias >  46 Comercio al por menor San Luis Potos� ,1.899183512,1.881581668,1.841988917,1.810313793,1.745937406,1.806643952,1.902406105,1.856569269,1.932048434,1.806228835,1.854384631
,Actividades terciarias >  46 Comercio al por menor Sinaloa ,2.610221342,2.709242957,2.768009329,2.905845765,2.897270003,2.915826738,2.858575405,2.948892498,3.105452136,3.120858891,2.96814515
,Actividades terciarias >  46 Comercio al por menor Sonora ,2.572190477,2.659490816,2.690544358,2.709628776,2.673739919,2.928101487,2.855905178,2.825260671,2.751256721,2.722804501,2.821117449
,Actividades terciarias >  46 Comercio al por menor Tabasco ,1.640785798,1.675231844,1.70959777,1.723213748,1.711457756,1.857329798,1.90974416,1.868893433,1.854801961,1.818622265,1.704094506
,Actividades terciarias >  46 Comercio al por menor Tamaulipas ,3.096550002,2.947599897,3.078666025,3.231361819,3.095940548,3.041886051,2.905883848,2.898219143,3.208892356,3.06354901,3.023053402
,Actividades terciarias >  46 Comercio al por menor Tlaxcala ,0.445800474,0.446584834,0.429720293,0.453794901,0.45888825,0.511369708,0.496721243,0.503005462,0.527548191,0.527118746,0.523163758
,Actividades terciarias >  46 Comercio al por menor Veracruz de Ignacio de la Llave ,5.160642797,5.141217574,5.150332127,5.153625298,5.157969215,4.732582997,4.796794846,4.641598746,4.664402956,4.854232719,4.831254227
,Actividades terciarias >  46 Comercio al por menor Yucat�n ,1.827413828,1.924737704,1.867015129,1.815082353,1.850063003,2.013376734,1.93052185,1.917545908,1.987723932,1.997637851,2.098334802
,Actividades terciarias >  46 Comercio al por menor Zacatecas ,0.869567304,0.842751785,0.863638715,0.877438412,0.869686184,0.874116098,0.959224214,0.934227071,0.910760684,0.897854943,0.85258202
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Total nacional ",100,100,100,100,100,100,100,100,100,100,100
