Periodo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Quintana Roo,0.274963894,0.333596474,0.395487334,0.42371787,0.37810014,0.387584834,0.364642084,0.363977267,0.348511426,0.36573048,0.427517316
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza San Luis Potos� ,2.087896727,1.973922578,2.09878314,1.934314745,1.913928201,2.251905013,2.414337491,2.350864508,2.356638369,2.391547493,2.518326601
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Sinaloa ,8.188112648,7.858611085,6.897222897,6.511824887,7.217730645,7.123013741,6.979844457,7.771681071,8.014275628,7.426889424,7.592619096
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Sonora ,5.741385144,5.887032066,5.866078499,5.924935481,6.218856638,5.860657099,5.754289012,6.186116387,6.248535102,6.594009618,6.622561776
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Tabasco ,1.492975771,1.473700289,1.464690328,1.454133878,1.540045947,1.486533238,1.417285849,1.416974768,1.388003674,1.522992313,1.530040561
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Tamaulipas ,3.431592887,3.413673077,3.592400231,3.319171931,3.139890834,2.813432906,3.324058868,2.964557227,3.08393457,2.801740617,2.509786786
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Tlaxcala ,0.73688226,0.668995718,0.729262356,0.499603789,0.712213262,0.633366592,0.634256321,0.62335578,0.588617909,0.559785911,0.554643113
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Veracruz e Ignacio de la Llave ,7.5697861,7.963173011,7.625183076,8.090134775,7.804618079,7.976143394,7.448276563,7.688386336,7.229878429,7.242918413,7.31922782
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca   y caza Yucat�n ,1.607029206,1.722154519,1.748672205,1.852767728,1.785643306,1.701923085,1.71372711,1.690805546,1.678662754,1.595213064,1.647181567
,Actividades primarias > 11 Agricultura > cr�a y explotaci�n de animales -aprovechamiento forestal- pesca y caza Zacatecas ,2.135055108,2.12637741,2.19142599,1.861659876,2.217792014,2.394221883,2.291188243,2.171852238,2.499740827,2.379860896,2.400666782
